email_description,score
"Hi John, we have a new tech role at our company...",8
"Dear Jane, I hope this email finds you well...",9
"Hey Alice, just wanted to give you a quick update...",7
Win a free iPhone! Click here...,2
Your account has been compromised. Reset now...,1
Thank you for your recent purchase!,6
Join our webinar on AI and machine learning...,8
Congratulations! You've won a $1000 gift card...,3
Reminder: Your appointment is tomorrow at 10 AM...,7
Exclusive offer: 50% off on all products...,4
